OBJECTID_1,SABL_PWSID,WATER_SYST,WATER_SY_1,BOUNDARY_T,REGULATING,COUNTY,ADDR_LINE_,ADDR_LIN_1,ADDRESS_CI,ADDRESS_ST,ADDRESS_ZI,STATE_CLAS,POPULATION,SERVICE_CO,VERIFIED_S,LAST_EDITE,VERIFIED_N,VERIFIED_T,DT_VERIFIE,CREATED_US,CREATED_DA,LAST_EDI_1,OBJECTID,BOUNDARY_F,ACTIVITY_S,ACTIVITY_D,OWNER_TYPE,FEDERAL_CL,Shape__Are,Shape__Len,SHAPE,CIscore2018_min,CIscore2018_max,CIscore2018_mean,CIscoreP2018_min,CIscoreP2018_max,CIscoreP2018_mean
"401914",CA1910004,CA1910004,GSWC - ARTESIA,Water Service Area,DISTRICT 15 - METROPOLITAN,LOS ANGELES,"12035 BURKE ST., SUITE 1",,SANTA FE SPRINGS,CA,"90670",COMMUNITY,"48255","10728",Pending,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,P,COMMUNITY,16060289.957965100184083,30924.009419443998922,,40.330000,46.100000,43.397500,77.000000,84.000000,80.750000
"401915",CA0910007,CA0910007,LUKINS BROTHERS WATER COMPANY,Water Service Area,DISTRICT 09 - SACRAMENTO,EL DORADO,2031 WEST WAY,,SOUTH LAKE TAHOE,CA,"96150",COMMUNITY,"3200","982",Pending,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,P,COMMUNITY,2211882.122301910072565,11304.331196623399592,,,,,,,
"401916",CA1000078,CA1000078,FCWWD #42/ALLUVIAL & FANCHER,Water Service Area,DISTRICT 23 - FRESNO,FRESNO,ALLUVIAL & HIGHLAND,,FRESNO,CA,"93721",COMMUNITY,"291","104",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1979/03/22,L,COMMUNITY,2640358.580160960089415,8952.128633975920820,,,,,,,
"401917",CA1210011,CA1210011,REDWAY C.S.D.,Water Service Area,DISTRICT 01 - KLAMATH,HUMBOLDT,P.O. BOX 40,153 EMPIRE AVE.,REDWAY,CA,"95560",COMMUNITY,"1500","687",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,L,COMMUNITY,5186720.997187640517950,16059.823939312200309,,,,,,,
"401918",CA1910195,CA1910195,GSWC - HOLLYDALE,Water Service Area,DISTRICT 15 - METROPOLITAN,LOS ANGELES,"12035 BURKE STREET, SUITE 1",,SANTA FE SPRINGS,CA,"90670",COMMUNITY,"7706","1667",Pending,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,P,COMMUNITY,2353414.902990759816021,9637.008998613549920,,44.200000,65.370000,56.236000,82.000000,98.000000,92.800000
"401919",CA1910204,CA1910204,LOS ANGELES CWWD 29 & 80-MALIBU,Water Service Area,DISTRICT 16 - CENTRAL,LOS ANGELES,900 S. FREMONT AVENUE,,ALHAMBRA,CA,"91803",COMMUNITY,"30361","7263",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1979/03/22,L,COMMUNITY,4481484.787259629927576,9159.623401198859938,,,,,,,
"401920",CA1910203,CA1910203,"LOS ANGELES CWWD 40, R 24,27,33-PEARBLSM",Water Service Area,DISTRICT 16 - CENTRAL,LOS ANGELES,900 SOUTH FREMONT AVENUE,,ALHAMBRA,CA,"91803",COMMUNITY,"10725","2831",Pending,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1979/03/22,L,COMMUNITY,35848700.430997900664806,33195.913215339300223,,,,,,,
"401921",CA1910027,CA1910027,"LOS ANGELES CWWD 40, REG. 35-N.E. L.A.",Water Service Area,DISTRICT 16 - CENTRAL,LOS ANGELES,900 SOUTH FREMONT AVE.,,ALHAMBRA,CA,"91803",COMMUNITY,"798","219",Pending,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,L,COMMUNITY,377332279.663007020950317,100290.858191546984017,,53.500000,53.500000,53.500000,92.000000,92.000000,92.000000
"401922",CA1910075,CA1910075,LOS ANGELES CWWD 21-KAGEL CANYON,Water Service Area,DISTRICT 16 - CENTRAL,LOS ANGELES,900 S. FREMONT AVENUE,,ALHAMBRA,CA,"91803",COMMUNITY,"546","246",Pending,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,L,COMMUNITY,790904.225305910105817,6106.077978510740650,,,,,,,
"401923",CA3400106,CA3400106,EAST WALNUT GROVE [SWS],Water Service Area,LPA64 - SACRAMENTO COUNTY,SACRAMENTO,14148 GROVE ST,,WALNUT GROVE,CA,"95690",COMMUNITY,"300","133",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/08,L,COMMUNITY,224852.005932675005170,2554.454318028020225,,,,,,,
"401924",CA3301028,CA3301028,BALDY MOUNTAIN RANCH,Water Service Area,LPA63 - RIVERSIDE COUNTY,RIVERSIDE,52601 HWY 74,,MOUNTAIN CENTER,CA,"92561",COMMUNITY,"144","60",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/07/27,P,COMMUNITY,19998.659427200000209,1049.968355227269967,,,,,,,
"401925",CA4210020,CA4210020,SANTA YNEZ RIVER WATER CONS. DIST. ID#1,Water Service Area,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,3622 Sagunto Street,,SANTA YNEZ,CA,"93460",COMMUNITY,"6737","2497",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1979/03/22,L,COMMUNITY,25240022.665664799511433,74623.026954075307003,,,,,,,
"401926",CA4000802,CA4000802,SANTA YSABEL RANCH MWC,Water Service Area,LPA70 - SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO,SANTA YSABEL AVE,,PASO ROBLES,CA,"93447",COMMUNITY,"25","146",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/08,P,COMMUNITY,3707576.361064369790256,9148.276841404180232,,,,,,,
"401927",CA3110023,CA3110023,NORTH TAHOE PUD - CARNELIAN WOODS,Water Service Area,DISTRICT 02 - LASSEN,PLACER,875 NATIONAL AVE,,TAHOE VISTA,CA,"96148",COMMUNITY,"524","268",Verified,2020/10/20,K. Connaughton,District / LPA staff member,2019/09/02,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,L,COMMUNITY,1195543.365117310080677,5188.137985487640435,,,,,,,
"401929",CA3200114,CA3200114,EVERGREEN MOTEL & MHP,Water Service Area,LPA62 - PLUMAS COUNTY,PLUMAS,39300 Hwy 70,,QUINCY,CA,"95971",COMMUNITY,"28","28",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2015/01/30,P,COMMUNITY,41771.041012825000507,894.807491323170893,,,,,,,
"401930",CA4300992,CA4300992,GOLDEN HEIGHTS MUTUAL WATER COMPANY,Water Service Area,DISTRICT 17 - SANTA CLARA,SANTA CLARA,9559 VIA DEL CIELO,,GILROY,CA,"95020",COMMUNITY,"66","21",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,P,COMMUNITY,1285549.276886400068179,4784.332180197980961,,,,,,,
"401931",CA3701184,CA3701184,BUTTERFIELD RANCH,Water Service Area,LPA67 - SAN DIEGO COUNTY,SAN DIEGO,,,JULIAN,CA,"92036",COMMUNITY,"350","75",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/02,P,COMMUNITY,273404.870761469996069,2108.076288291079891,,,,,,,
"401932",CA3700962,CA3700962,OAKVALE PARK,Water Service Area,LPA67 - SAN DIEGO COUNTY,SAN DIEGO,,,ESCONDIDO,CA,"92027",COMMUNITY,"100","125",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/02,P,COMMUNITY,149815.321402630012017,1548.504252867060131,,,,,,,
"401933",CA5000389,CA5000389,MONTEREY PARK TRACT CSD,Water Service Area,LPA80 - STANISLAUS COUNTY,STANISLAUS,MONTEREY AVENUE,,CERES,CA,"95307",COMMUNITY,"186","51",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/07/21,P,COMMUNITY,197734.025743215024704,2037.099466452770002,,57.360000,57.360000,57.360000,95.000000,95.000000,95.000000
"401934",CA5200657,CA5200657,NORCAL WATER WORKS,Water Service Area,LPA82 - TEHAMA COUNTY,TEHAMA,9475 RIVERVIEW AVENUE,,LOS MOLINOS,CA,"96055",COMMUNITY,"45","17",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/03,P,COMMUNITY,35229.145027345002745,982.766289425435048,,,,,,,
"401935",CA4210006,CA4210006,LOMPOC-CITY WATER UTILITY DIV,Water Service Area,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,100 Civic Center Plaza,,LOMPOC,CA,"93436",COMMUNITY,"40759","9818",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1979/03/22,L,COMMUNITY,28109934.968843698501587,43168.330375140511023,,,,,,,
"401936",CA3600184,CA3600184,NORTH SHORE MWC,Water Service Area,LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,38626 North Shore Dr.,,FAWNSKIN,CA,"92333",COMMUNITY,"25","32",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/08,P,COMMUNITY,87022.677208904991858,1498.266870614000027,,,,,,,
"401938",CA3600180,CA3600180,NAVAJO MWC,Water Service Area,LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,21933 OTOE RD,,APPLE VALLEY,CA,"92307",COMMUNITY,"276","80",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/08,P,COMMUNITY,1974274.602762350114062,5674.503266034989792,,,,,,,
"401939",CA3600200,CA3600200,RANCHERITOS MWC,Water Service Area,LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,KIOWA ROAD & OCOTILLA,,APPLE VALLEY,CA,"92307",COMMUNITY,"655","131",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/08,P,COMMUNITY,474478.794276495056693,2774.154897978250119,,,,,,,
"401940",CA3600156,CA3600156,LUCERNE VALLEY MWC,Water Service Area,LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,9201 MESA RD,,LUCERNE VALLEY,CA,"92356",COMMUNITY,"275","70",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/08,P,COMMUNITY,845487.970536430017091,3853.366890323600273,,,,,,,
"401941",CA3701747,CA3701747,NORTH PEAK MUTUAL WATER COMPANY,Water Service Area,LPA67 - SAN DIEGO COUNTY,SAN DIEGO,7465 ENGINEERS RD,,JULIAN,CA,"92036",COMMUNITY,"25","92",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/02,P,COMMUNITY,784725.390019954997115,3538.894212711740238,,,,,,,
"401942",CA3600262,CA3600262,SNOWCREST HEIGHTS IMP ASSOC,Water Service Area,LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,32 San Antonio Falls Road,,MOUNT BALDY,CA,"91759",COMMUNITY,"600","120",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/08,P,COMMUNITY,869662.488806100096554,4487.004847156440519,,,,,,,
"401944",CA3700900,CA3700900,LAKE HENSHAW RESORT INC.,Water Service Area,LPA67 - SAN DIEGO COUNTY,SAN DIEGO,,,SANTA YSABEL,CA,"92070",COMMUNITY,"300","101",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/02,P,COMMUNITY,274623.091315915051382,2195.236341624709894,,,,,,,
"401945",CA3610043,CA3610043,GOLDEN STATE WATER CO - BARSTOW,Water Service Area,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,1521 E. Main St,,BARSTOW,CA,"92311",COMMUNITY,"31641","8926",Pending,2020/10/20,A. Chakmak,Water System representative,2019/06/05,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,P,COMMUNITY,128083897.186930999159813,71754.806796122007654,,43.380000,54.510000,49.472500,81.000000,93.000000,88.000000
"401946",CA0400012,CA0400012,FARM LABOR HOUSING,Water Service Area,LPA34 - BUTTE COUNTY,BUTTE,850 E Gridley Rd,,GRIDLEY,CA,"95948",COMMUNITY,"460","144",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/07/28,L,COMMUNITY,239303.478541049989872,2063.034931919380142,,,,,,,
"401947",CA0410008,CA0410008,THERMALITO WATER & SEWER DIST,Water Service Area,DISTRICT 21 - VALLEY,BUTTE,535 Table Mountain Blvd.,,OROVILLE,CA,"95965",COMMUNITY,"10095","3059",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1979/03/22,L,COMMUNITY,97124177.495435699820518,97763.495744250714779,,43.360000,43.360000,43.360000,81.000000,81.000000,81.000000
"401948",CA5305402,CA5305402,BAR 717 RANCH,Water Service Area,DISTRICT 01 - KLAMATH,TRINITY,STAR RT BOX 150,5 Mi East of Hyamptom on the Hyamptom Rd,HAYFORK,CA,"96041",TRANSIENT NON-COMMUNITY,"185","25",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,P,TRANSIENT NON-COMMUNITY,228011.096394994994625,1871.774398089320130,,,,,,,
"401949",CA2000526,CA2000526,PIKE RANCH MUTUAL WATER CO,Water Service Area,LPA50 - MADERA COUNTY,MADERA,41281 PAMELA PL,,OAKHURST,CA,"93644",COMMUNITY,"74","20",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2015/11/06,P,COMMUNITY,713585.091940774931572,5066.799821257010990,,,,,,,
"401950",CA4110007,CA4110007,CALIFORNIA WATER SERVICE - SAN CARLOS,Water Service Area,DISTRICT 17 - SANTA CLARA,SAN MATEO,341 NORTH DELAWARE STREET,,SAN MATEO,CA,"94401",COMMUNITY,"30955","10445",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,P,COMMUNITY,23843416.040578998625278,24232.005405014599091,,,,,,,
"401951",CA4900799,CA4900799,EL PORTAL MOBILE ESTATES,Water Service Area,DISTRICT 18 - SONOMA,SONOMA,3010 Santa Rosa Avenue,,SANTA ROSA,CA,"95407",COMMUNITY,"200","122",Verified,2020/10/20,J. Oakley,District / LPA staff member,2019/09/02,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1979/03/22,P,COMMUNITY,75613.705540794995613,1421.564010542870164,,,,,,,
"401952",CA4310014,CA4310014,CITY OF SUNNYVALE,Water Service Area,DISTRICT 17 - SANTA CLARA,SANTA CLARA,221 Commercial Street,,SUNNYVALE,CA,"94085",COMMUNITY,"155567","28475",Verified,2020/10/20,M. NASSER,Water System representative,2020/05/15,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,L,COMMUNITY,75852560.268393903970718,103352.715909954000381,,40.600000,44.520000,42.560000,77.000000,82.000000,79.500000
"401953",CA3700922,CA3700922,LIVE OAK SPRINGS WATER SYSTEM,Water Service Area,LPA67 - SAN DIEGO COUNTY,SAN DIEGO,,,,,,COMMUNITY,"300","96",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/02,L,COMMUNITY,327282.323473459982779,2244.030513452790274,,,,,,,
"401954",CA3200155,CA3200155,FRCCSD HOT SPRINGS,Water Service Area,LPA62 - PLUMAS COUNTY,PLUMAS,29186 Hwy 70,,TWAIN,CA,"95984",COMMUNITY,"25","17",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2015/01/30,L,COMMUNITY,62901.262676044992986,1213.378176544530106,,,,,,,
"401955",CA5000165,CA5000165,WOODWARD RESERVOIR WATER SYSTEM,Water Service Area,LPA80 - STANISLAUS COUNTY,STANISLAUS,14528 26 MILE RD,,OAKDALE,CA,"95361",TRANSIENT NON-COMMUNITY,"26","11",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/07/21,L,TRANSIENT NON-COMMUNITY,75341160.206096395850182,35514.368587946300977,,,,,,,
"401956",CA2700669,CA2700669,ORCHARD LN WS #02,Water Service Area,LPA57 - MONTEREY COUNTY,MONTEREY,,,SALINAS,CA,"93907",COMMUNITY,"32","16",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/01,P,COMMUNITY,61209.746919754994451,2033.823919172619981,,,,,,,
"401957",CA5000295,CA5000295,SHILOH SCHOOL DISTRICT,Water Service Area,LPA80 - STANISLAUS COUNTY,STANISLAUS,6633 PARADISE ROAD,,MODESTO,CA,"95358",NON-TRANSIENT NON-COMMUNITY,"105","7",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/07/21,L,NON-TRANSIENT NON-COMMUNITY,21381.112594489997718,585.295874900327931,,49.820000,49.820000,49.820000,89.000000,89.000000,89.000000
"401958",CA2000551,CA2000551,MD 07 MARINA VIEW HEIGHTS,Water Service Area,LPA50 - MADERA COUNTY,MADERA,MARINA VIEW DRIVE,,BASS LAKE,CA,"93604",COMMUNITY,"200","83",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2015/11/06,L,COMMUNITY,123525.271293969999533,1853.736472769990087,,,,,,,
"401959",CA4901265,CA4901265,SONOMA STATE U.-FAIRFIELD OSBORN PRES,Water Service Area,DISTRICT 18 - SONOMA,SONOMA,6543 Lichau Road,,PENNGROVE,CA,"94951",TRANSIENT NON-COMMUNITY,"27","1",Verified,2020/10/20,J. Oakley,District / LPA staff member,2019/09/02,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,S,TRANSIENT NON-COMMUNITY,3019954.510051850229502,10204.951911633801501,,,,,,,
"401960",CA2100580,CA2100580,DIEKMANN'S GENERAL STORE,Water Service Area,DISTRICT 18 - SONOMA,MARIN,27005 Shoreline Highway,,TOMALES,CA,"94971",TRANSIENT NON-COMMUNITY,"25","2",Verified,2020/10/20,J. Oakley,District / LPA staff member,2019/09/02,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2000/08/24,P,TRANSIENT NON-COMMUNITY,2518.709246174999862,205.523502635315026,,,,,,,
"401961",CA2700999,CA2700999,OAK PARK WS,Water Service Area,LPA57 - MONTEREY COUNTY,MONTEREY,,,GREENFIELD,CA,"93927",TRANSIENT NON-COMMUNITY,"29","1",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/01,L,TRANSIENT NON-COMMUNITY,155419.379424524988281,1663.723802357450040,,,,,,,
"401962",CA2000608,CA2000608,WILDWOOD MOBILE HOME PK INC,Water Service Area,LPA50 - MADERA COUNTY,MADERA,8701 N HIGHWAY 41,,FRESNO,CA,"93720",COMMUNITY,"100","68",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2015/04/30,P,COMMUNITY,66699.116276044995175,1055.361356221080086,,46.940000,46.940000,46.940000,85.000000,85.000000,85.000000
"401963",CA4901215,CA4901215,PLUMFIELD ACADEMY (OCCIDENTAL RD.),Water Service Area,DISTRICT 18 - SONOMA,SONOMA,9360 Occidental Road,,SEBASTOPOL,CA,"95472",NON-TRANSIENT NON-COMMUNITY,"30","1",Verified,2020/10/20,J. Oakley,District / LPA staff member,2019/09/02,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1994/11/14,P,NON-TRANSIENT NON-COMMUNITY,50739.602011384995421,1031.532790624680047,,,,,,,
"401964",CA2701726,CA2701726,SPENCE RD WS #05,Water Service Area,LPA57 - MONTEREY COUNTY,MONTEREY,,,SALINAS,CA,"93908",NON-TRANSIENT NON-COMMUNITY,"25","4",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/01,P,NON-TRANSIENT NON-COMMUNITY,519978.150462855002843,3190.599451947020498,,,,,,,
"401965",CA2701687,CA2701687,VALLEY OAKS MHP WS,Water Service Area,LPA57 - MONTEREY COUNTY,MONTEREY,,,LOCKWOOD,CA,"93932",COMMUNITY,"120","46",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/01,P,COMMUNITY,193189.836833470035344,1969.496523113180046,,,,,,,
"401966",CA4910021,CA4910021,BODEGA BAY PUBLIC UTILITY DISTRICT,Water Service Area,DISTRICT 18 - SONOMA,SONOMA,265 Doran Park Road,,BODEGA BAY,CA,"94923",COMMUNITY,"1435","1060",Verified,2020/10/20,J. Oakley,District / LPA staff member,2019/09/02,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,L,COMMUNITY,21997454.186261501163244,41279.361916125599237,,,,,,,
"401967",CA5000274,CA5000274,PARADISE SCHOOL,Water Service Area,LPA80 - STANISLAUS COUNTY,STANISLAUS,3361 CALIFORNIA AVENUE,,MODESTO,CA,"95351",NON-TRANSIENT NON-COMMUNITY,"152","2",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/07/21,L,NON-TRANSIENT NON-COMMUNITY,45912.769309310002427,861.080075954276936,,49.820000,49.820000,49.820000,89.000000,89.000000,89.000000
"401968",CA3200102,CA3200102,WHITEHAWK RANCH MWC,Water Service Area,DISTRICT 02 - LASSEN,PLUMAS,757 Whitehawk Dr,,CLIO,CA,"96106",COMMUNITY,"765","197",Verified,2020/10/20,K. Connaughton,District / LPA staff member,2019/09/02,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2007/10/26,P,COMMUNITY,6514608.784178099595010,15213.671407493300649,,,,,,,
"401969",CA1900975,CA1900975,CALI LAKE RV RESORT,Water Service Area,LPA49 - LA COUNTY,LOS ANGELES,MRS. JOSEPHINE WELCH,10645 SOLEDAD CYN RD,SAUGUS,CA,"91351",COMMUNITY,"30","47",Verified,2020/10/20,G. Stable,Water System representative,2020/05/15,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/08,P,COMMUNITY,69776.563875824998831,1276.898192823300178,,,,,,,
"401971",CA0707568,CA0707568,MACS OLD HOUSE,Water Service Area,LPA37 - CONTRA COSTA COUNTY,CONTRA COSTA,3100 E 18TH STREET,,ANTIOCH,CA,"94509",TRANSIENT NON-COMMUNITY,"90","1",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/05/10,P,TRANSIENT NON-COMMUNITY,617.276766544999987,99.950182684675596,,,,,,,
"401972",CA4210007,CA4210007,MONTECITO WATER DIST,Water Service Area,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,583 San Ysidro Road,,SANTA BARBARA,CA,"93108",COMMUNITY,"11428","4574",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1979/03/22,L,COMMUNITY,53527166.071510091423988,44865.614810409802885,,,,,,,
"401973",CA0500028,CA0500028,SHERMAN ACRES MUTUAL WATER ASN,Water Service Area,LPA35 - CALAVERAS COUNTY,CALAVERAS,4085 HWY 4,,BEAR VALLEY,CA,"95223",TRANSIENT NON-COMMUNITY,"120","30",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/07/29,P,TRANSIENT NON-COMMUNITY,482073.912491625058465,3486.015060637670103,,,,,,,
"401974",CA2310003,CA2310003,"UKIAH, CITY OF",Water Service Area,DISTRICT 03 - MENDOCINO,MENDOCINO,935 River Street,,UKIAH,CA,"95482",COMMUNITY,"15946","4781",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,L,COMMUNITY,20274473.930727001279593,31307.823237378401245,,,,,,,
"401975",CA4901222,CA4901222,SONOMA COUNTY PARKS-VET. MEMORIAL BEACH,Water Service Area,DISTRICT 18 - SONOMA,SONOMA,13839 Old Redwood Highway,,HEALDSBURG,CA,"95448",TRANSIENT NON-COMMUNITY,"250","4",Verified,2020/10/20,J. Oakley,District / LPA staff member,2019/09/02,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1996/06/27,L,TRANSIENT NON-COMMUNITY,178801.301364529994316,1869.462900532600088,,,,,,,
"401976",CA5000482,CA5000482,"CHEMURGIC AGRICULTURAL CHEMICALS, INC.",Water Service Area,LPA80 - STANISLAUS COUNTY,STANISLAUS,3025 FAITH HOME RD,,TURLOCK,CA,"95380",NON-TRANSIENT NON-COMMUNITY,"42","7",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/07/21,P,NON-TRANSIENT NON-COMMUNITY,217457.586603879986797,1950.781343302860023,,63.360000,63.360000,63.360000,98.000000,98.000000,98.000000
"401977",CA1009214,CA1009214,WESTSIDE HARVESTING,Water Service Area,DISTRICT 23 - FRESNO,FRESNO,17000 S DERRICK,,CANTUA CREEK,CA,"93608",COMMUNITY,"75","24",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1979/03/22,P,COMMUNITY,328733.338117100007366,4599.651292755740542,,48.180000,57.570000,52.875000,87.000000,95.000000,91.000000
"401978",CA5000238,CA5000238,SUN DRY PRODUCTS-WATER,Water Service Area,LPA80 - STANISLAUS COUNTY,STANISLAUS,,,WESTLEY,CA,"95387",STATE SMALL WATER SYSTEM,"22","5",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/07/21,P,NON-PUBLIC,3515911.282868819776922,8205.761554110749785,,47.340000,47.340000,47.340000,86.000000,86.000000,86.000000
